rest_type,rest_name,rest_score,rest_votes,rest_reviews,rest_cuisine,rest_zone,rest_addressrest_cost,rest_timings,rest_featured_in,rest_call
"['Casual Dining', ',', 'Bar']",['The Bombay Canteen'],['4.1'],['2010 votes'],['1273 reviews'],['Modern Indian'],['Lower Parel'],"['Ground Floor, Process House, Kamala Mills, Near Radio Mirchi Office, S.B. Marg, Lower Parel, Mumbai']","['\xe2\x82\xb91,600']","['12 Noon to 1 AM (Mon, Tue, Wed, Thu, Sun), 12 Noon...']","['All-day dining', 'Book a table online on Zomato', 'Insta-worthy']",['022 49666666']
"['Casual Dining', ',', 'Bar']","[""Chili's""]",['4.1'],['1431 votes'],['1282 reviews'],"['American', 'Mexican', 'Tex-Mex']","['Inorbit Mall, Malad West']","['2nd Floor, Inorbit Mall, Malad West, Mumbai']","['\xe2\x82\xb91,800']","['12 Noon to 12:45 AM (Mon-Fri),12 Noon to 1:30 AM...']","['Kickass burgers', 'Happy hours']",['022 33126098']
"['Casual Dining', ',', 'Lounge']",['Rude Lounge'],['3.7'],['2256 votes'],['1296 reviews'],"['North Indian', 'Italian', 'Chinese', 'Continental']",['Powai'],"['8th Floor, B Wing, Supreme Business Park, Hiranandani Gardens, Powai, Mumbai']","['\xe2\x82\xb91,600']",['11:30 AM to 12:30 AM (Mon-Sun)'],"['Happy hours', 'Rooftops']",['022 30151460']
['Quick Bites'],['Stacks And Racks'],['4.6'],['195 votes'],['169 reviews'],"['American', 'Burger', 'Fast Food']",['Malad West'],"['Shop 1, Ganga Nivas, Opposite Toyota Showroom, Link Road, Malad West, Mumbai']",['\xe2\x82\xb9500'],['12 Noon to 12 Midnight (Mon-Sun)'],['empty'],"['+91 9699006650, +91 8767676866']"
['Casual Dining'],['Quattro Ristorante'],['4.5'],['2183 votes'],['1123 reviews'],"['Italian', 'Mexican', 'Burger']",['Lower Parel'],"['7, Janta India Estate, Senapati Bapat Marg, Opposite Phoenix Mills, Lower Parel, Mumbai']","['\xe2\x82\xb91,800']","['12 Noon to 4 PM, 6:30 PM to 11:30 PM (Mon-Sun)']",['Insta-worthy'],['022 46104610']
['Casual Dining'],['Hotel Ramashray'],['4.9'],['2906 votes'],['1643 reviews'],['South Indian'],['Matunga East'],"['Bhandarkar Road, Matunga East, Mumbai']",['\xe2\x82\xb9200'],"['Closed (Mon),5 AM to 9:30 PM (Tue-Sun)']",['empty'],"['022 24102623, 022 24102369']"
"['Casual Dining', ',', 'Bar']",['It Happened In New York'],['3.8'],['95 votes'],['76 reviews'],['American'],"['Reclamation, Bandra West']","['Building 68, Chapel Road, Behind Lilavati Hospital, Reclamation, Bandra West']","['\xe2\x82\xb92,400']",['12 Noon to 12:30 AM (Mon-Sun)'],['Newly opened'],['022 33951617']
['Casual Dining'],['Pa Pa Ya'],['4.8'],['1023 votes'],['743 reviews'],"['Sushi', 'Asian']","['Palladium Mall, Lower Parel']","['Level 3, Palladium Mall, Senapati Bapat Marg, Lower Parel, Mumbai']","['\xe2\x82\xb92,000']","['12 Noon to 3 PM, 7 PM to 11 PM (Mon-Thu),12 Noon to...']","['Pan-Asian delicacies', 'Super sushi', 'Insta-worthy']","['+91 8828031900, +91 8828032900']"
['Fine Dining'],['Global Fusion'],['4.2'],['3105 votes'],['1429 reviews'],"['Chinese', 'Japanese', 'Asian', 'North Indian']","['Link Square Mall, Linking Road, Bandra West']","['3rd Floor, Link Square Mall, Off Linking Road, Linking Road, Bandra West']","['\xe2\x82\xb93,500']","['12 Noon to 3:30 PM, 7 PM to 1 AM (Mon-Sun)']",['Super sushi'],"['022 42633000, +91 9167666752']"
"['Pub', ',', 'Bar']",['Brewbot Eatery & Pub Brewery'],['3.9'],['1084 votes'],['673 reviews'],"['Mediterranean', 'European', 'American', 'Italian', 'Finger Food']",['Veera Desai Area'],"['G01 & 101, Morya Landmark 1, Off New Link Road, Veera Desai Area, Veera Desai Area, Mumbai']","['\xe2\x82\xb91,500']","['4 PM to 12 Midnight (Mon-Fri),12 Noon to 12 Midnight...']","['Kickass burgers', 'Beer in a bar']","['022 39698091, 022 40034449']"
['Casual Dining'],['Jamjar Diner'],['4.0'],['3335 votes'],['1828 reviews'],"['American', 'Mexican', 'Italian', 'Burger', 'Salad', 'Healthy Food']","['Versova, Andheri West']","['7A & B, Arram Nagar 2, Behind Washing Bay, Yari Road, Versova, Andheri West']","['\xe2\x82\xb91,500']",['9 AM to 1 AM (Mon-Sun)'],['Rooftops'],"['+91 7506640066, 022 26358880']"
['Caf\xc3\xa9'],['The Nutcracker'],['4.4'],['1636 votes'],['1030 reviews'],"['Cafe', 'American', 'European']",['Fort'],"['Modern House, Dr. V.B. Gandhi Marg, Opposite One Forbes Building, Kala Ghoda, Fort, Mumbai']","['\xe2\x82\xb91,200']","['12 Noon to 11 PM (Mon),9:30 AM to 11 PM...']",['Great coffee'],['022 61344971']
['Caf\xc3\xa9'],['The Rolling Pin'],['3.8'],['1997 votes'],['1331 reviews'],"['Bakery', 'Desserts', 'Cafe']",['Lower Parel'],"['12, Janta Industrial Estate, Senapat Bapat Road, Lower Parel, Mumbai']",['\xe2\x82\xb9700'],['11 AM to 12 Midnight (Mon-Sun)'],"['Veggie friendly', 'Great coffee']",['022 46104610']
['Caf\xc3\xa9'],['Cafe Mondegar'],['4.3'],['3875 votes'],['1715 reviews'],"['Cafe', 'Italian', 'Chinese', 'Continental']",['Colaba'],"['5A, Metro House, Shahid Bhagat Singh Road, Near Regal Cinema, Colaba, Mumbai']","['\xe2\x82\xb91,300']",['7:30 AM to 11:30 PM (Mon-Sun)'],['Legendary outlets'],"['022 22020591, 022 22830586']"
['Casual Dining'],"[""Chili's""]",['4.0'],['1172 votes'],['917 reviews'],"['American', 'Mexican', 'Tex-Mex']","['Inorbit Mall, Vashi']","['2nd Floor, Inorbit Mall, Sector 30A, Vashi, Navi Mumbai']","['\xe2\x82\xb91,800']",['12 Noon to 12 Midnight (Mon-Sun)'],"['Kickass burgers', 'Happy hours', 'Beer in a bar']",['022 33126093']
"['Quick Bites', ',', 'Bakery']",['Kyani & Co.'],['3.9'],['2300 votes'],['1200 reviews'],"['Parsi', 'Bakery']",['Marine Lines'],"['JSS Road, Jer Mahal Estate, Opposite Metro Cinema, Marine Lines, Mumbai']",['\xe2\x82\xb9300'],"['7 AM to 8:45 PM (Mon-Sat),7 AM to 6:30 PM (Sun)']","['Legendary outlets', u'Irani caf\xe9s']",['022 30150864']
['Pub'],['Madeira & Mime'],['4.6'],['213 votes'],['178 reviews'],"['Continental', 'Italian', 'North Indian', 'Chinese', 'Finger Food']",['Powai'],"['G2, Trans Ocean House, Hiranandani Business Park, Lake Boulevard, Powai, Mumbai']","['\xe2\x82\xb91,000']","['12 Noon to 12 Midnight (Mon-Fri),12 Noon to 1 AM...']",['PURANI JEANS: Thums up + Old Monk @ 99 ++ between 3pm to 7pm'],['022 30151379']
['Fine Dining'],['The Earth Plate - Sahara Star'],['4.2'],['289 votes'],['165 reviews'],"['Italian', 'French', 'Mediterranean', 'Mexican']","['Sahara Star, Santacruz East']","['Hotel Sahara Star, Opposite Domestic Airport, Vile Parle (east)Mumbai - 99']","['\xe2\x82\xb93,700']",['24 Hours (Mon-Sun)'],['Trending this week'],['022 30151999']
['Casual Dining'],['Sigree Global Grill'],['3.9'],['3153 votes'],['1544 reviews'],"['North Indian', 'Turkish', 'Lebanese', 'Greek']",['Powai'],"['101, 1st Floor, Ventura Building, Hiranandani Business Park, Central Avenue Road, Powai, Mumbai']","['\xe2\x82\xb92,000']","['12:30 PM to 3:30 PM, 7 PM to 11:30 PM (Mon-Sun)']",['ICICI Bank Culinary Treats'],"['022 25708967, 022 25708968']"
['Casual Dining'],"[""Eva's Pizza""]",['4.1'],['1141 votes'],['690 reviews'],"['Pizza', 'Fast Food']",['Marol'],"['7, Harmony Apartments, Off Military Road, Marol, Mumbai']",['\xe2\x82\xb9650'],['11 AM to 11 PM (Mon-Sun)'],['Get 15% off all home-delivery. Valid only when you order online on Zomato.'],['022 33951620']
['Casual Dining'],['Bombay Barbeque'],['4.2'],['1541 votes'],['983 reviews'],"['Chinese', 'Mughlai', 'North Indian']",['Khar'],"['Ground Floor, Om Palace, Dr Ambedkar Road Junction,   Mumbai Khar West, Khar, Mumbai']","['\xe2\x82\xb92,000']","['12 Noon to 3:30 PM, 7 PM to 1:30 AM (Mon-Sun)']","['Great buffets', 'Kebab places']",['022 33956062']
['Casual Dining'],['Stir Fry Grill'],['4.0'],['507 votes'],['437 reviews'],['Chinese'],['Malad West'],"['Near Toyata Showroom, Malad Link Road, Malad West, Mumbai']",['\xe2\x82\xb9850'],"['11 AM to 3:30 PM, 6 PM to 11:30 PM (Mon-Sun)']",['empty'],"['022 40108623, 022 40169913']"
['Bar'],['The English Department Bar & Diner'],['3.9'],['811 votes'],['567 reviews'],"['Italian', 'Continental', 'Mexican', 'Japanese', 'American', 'British']",['Malad West'],"['Malad link Road, Near Inorbit Mall Junction, Malad West, Mumbai']","['\xe2\x82\xb91,500']",['12 Noon to 12:30 AM (Mon-Sun)'],['Beer in a bar'],['022 33956014']
['Casual Dining'],"[""Grandmama's Caf\xc3\xa9""]",['4.0'],['851 votes'],['678 reviews'],['Continental'],['Lower Parel'],"['Next to Gate 4, Kamala Mills Compound, Senapati Bapat Marg, Lower Parel, Mumbai']","['\xe2\x82\xb91,100']",['9 AM to 11:45 PM (Mon-Sun)'],['empty'],"['022 24944401, 022 24944402']"
['Casual Dining'],['The Food Studio - Kitchen & Bar'],['3.9'],['1670 votes'],['1006 reviews'],"['Continental', 'Asian', 'North Indian']",['Mulund West'],"['Opposite Runwal Green Project, Mulund Goregaon Link Road, Mulund West, Mumbai']","['\xe2\x82\xb91,100']",['12 Noon to 12 Midnight (Mon-Sun)'],"['All-day dining', 'Happy hours', ""Valentine's Day Specials""]","['022 65334999, 022 25624999']"
['Casual Dining'],['Made In  Punjab'],['4.0'],['878 votes'],['585 reviews'],['North Indian'],['Malad West'],"['Level 2, Inorbit Mall, Malad (W), Mumbai']","['\xe2\x82\xb91,500']","['12 Noon to 4:30 PM, 7 PM to 11:30 PM (Mon-Sun)']","['Brilliant biryanis', 'Kebab places']","['+91 9004515000, 022 66711187']"
['Caf\xc3\xa9'],['Cafe Monza'],['4.3'],['1124 votes'],['739 reviews'],"['Cafe', 'Continental']",['Kharghar'],"['Plot 5/6, Bhoomi Heights, Opposite Sector 8, Kharghar, Navi Mumbai']",['\xe2\x82\xb9700'],['8 AM to 11 PM (Mon-Sun)'],['On the outskirts'],['022 33126905']
['Caf\xc3\xa9'],['70 beans'],['4.5'],['576 votes'],['416 reviews'],['Cafe'],['Sanpada'],"['8 /9, Plot 5, Vasundhara Height, Sector 11, Sanpada, Navi Mumbai (Opposite Juinagar Railway Station)']",['\xe2\x82\xb9900'],['7:30 AM to 11:30 PM (Mon-Sun)'],['Great coffee'],['022 27752110']
"['Pub', ',', 'Casual Dining']",['TAP Resto Bar'],['4.0'],['2294 votes'],['1286 reviews'],"['North Indian', 'Chinese', 'Italian', 'Mexican']","['Linking Road, Bandra West']","['3rd Floor, Link Square Mall, Linking Road, Bandra West Above Global Fusion, Linking Road, Linking Road, Bandra West']","['\xe2\x82\xb91,400']",['12 Noon to 1 AM (Mon-Sun)'],['empty'],['022 33956196']
['Quick Bites'],['Cafe Madras'],['4.5'],['3349 votes'],['1645 reviews'],['South Indian'],['Matunga East'],"[""38 B, Circle House, King's Circle, Matunga East, Mumbai""]",['\xe2\x82\xb9250'],"['Closed (Mon),7 AM to 2:30 PM, 4 PM to 10:30 PM...']","['Legendary outlets', 'Regional favorites']",['022 24014419']
['Lounge'],['Breeze Lounge'],['3.8'],['3044 votes'],['1555 reviews'],"['Italian', 'Mediterranean']",['Powai'],"['8th Floor, A Wing, Supreme Business Park, Hiranandani Gardens, Powai, Mumbai']","['\xe2\x82\xb91,600']",['12 Noon to 1:30 AM (Mon-Sun)'],"['Rooftops', 'Veggie friendly', 'European & Mediterranean']",['022 66083939']
"['Bar', ',', 'Casual Dining']",['ZOOBAR'],['4.0'],['980 votes'],['708 reviews'],"['Finger Food', 'Italian', 'American']",['Vile Parle West'],"['1st Floor, Liberty Lodge, DJ Road, Above Mcdonalds, Vile Parle West, Mumbai']","['\xe2\x82\xb91,700']",['12 Noon to 1:30 AM (Mon-Sun)'],"['Sunday brunches', 'Happy hours', 'Book a table online on Zomato', 'Beer in a bar']","['+91 9699966227, +91 7303966227']"
"['Pub', ',', 'Casual Dining']",['The Bar Stock Exchange'],['3.7'],['2347 votes'],['1392 reviews'],"['Continental', 'Chinese', 'North Indian', 'Italian', 'Mexican']",['Sakinaka'],"['89, Shivani Industrial Estate, Opposite Times Square, Sakinaka, Mumbai']","['\xe2\x82\xb91,300']","['12 Noon to 4 PM, 6 PM to 1:30 AM (Mon-Sun)']",['empty'],['022 30151964']
['Casual Dining'],['Spesso Gourmet Kitchen'],['4.2'],['1546 votes'],['854 reviews'],"['European', 'Mexican', 'Italian']",['Nariman Point'],"['Ground Floor, Regent Chambers, Jamnalal Bajaj Road, Nariman Point, Mumbai']","['\xe2\x82\xb91,200']",['11:30 AM to 11 PM (Mon-Sun)'],"['Veggie friendly', 'European & Mediterranean']","['022 40318750, 022 40318752']"
['Casual Dining'],['Burma  Burma'],['4.5'],['1709 votes'],['991 reviews'],"['Asian', 'Burmese']",['Fort'],"['Kothari House, Allana Centre Lane, MG Road, Behind Mumbai University, Fort, Mumbai']","['\xe2\x82\xb91,500']","['12 Noon to 2:45 PM, 7 PM to 11 PM (Mon-Sun)']",['Veggie friendly'],['022 61054592']
['Casual Dining'],['Gajalee'],['4.4'],['1070 votes'],['575 reviews'],"['Seafood', 'North Indian', 'Mughlai']",['Vile Parle East'],"['Kadamgiri Complex, Hanuman Road, Vile Parle East, Mumbai']","['\xe2\x82\xb91,000']","['11:30 AM to 3:30 PM, 7 PM to 11:30 PM (Mon-Sun)']",['Super seafood'],"['022 26166470, 022 26114093']"
['Casual Dining'],['Guru Kripa'],['4.4'],['1424 votes'],['807 reviews'],"['Street Food', 'South Indian', 'Fast Food']",['Sion'],"['40, Guru Kripa Building, Road 24, Near SIES College, Sion, Mumbai']",['\xe2\x82\xb9300'],['8 AM to 11 PM (Mon-Sun)'],['empty'],['022 33716059']
['Caf\xc3\xa9'],['Aromas Cafe'],['4.0'],['1983 votes'],['1125 reviews'],"['Cafe', 'Continental', 'Italian', 'Desserts']",['Powai'],"['Ground Floor, Ventura Building, Hiranandani Gardens, Powai, Mumbai']","['\xe2\x82\xb91,100']",['7:30 AM to 1 AM (Mon-Sun)'],['T&C'],['022 62231996']
['Lounge'],['Hoppipola'],['3.7'],['2260 votes'],['1275 reviews'],"['Continental', 'Mediterranean']",['Khar'],"['757, Ramee Guestline Hotel, MD Ali Quereshi Chowk, S.V. Road, Khar, Mumbai']","['\xe2\x82\xb91,500']","['5 PM to 1 AM (Mon),12 Noon to 1 AM (Tue-Sun)']",['empty'],['022 30151106']
"['Lounge', ',', 'Bar']",['Tamasha'],['3.9'],['81 votes'],['66 reviews'],"['Finger Food', 'Continental']",['Lower Parel'],"['Ground Floor, Victoria House, E.B Marg, Lower Parel, Mumbai']","['\xe2\x82\xb91,200']",['12 Noon to 1 AM (Mon-Sun)'],"['Newly opened', 'Trending this week']",['022 33951579']
['Casual Dining'],['Delhi Highway'],['4.0'],['686 votes'],['485 reviews'],"['North Indian', 'Mughlai']",['Sakinaka'],"['A4, Ground Floor, B Wing, Times Square, Andheri East, Sakinaka, Mumbai']","['\xe2\x82\xb91,200']","['11:30 AM to 3:30 PM, 7 PM to 11 PM (Mon-Sun)']",['empty'],"['022 28510000, 022 28521234']"
"['Casual Dining', ',', 'Bar']",['SodaBottleOpenerWala'],['4.0'],['336 votes'],['292 reviews'],['Parsi'],"['Viviana Mall, Majiwada, Thane West']","['Viviana Mall, Eastern Express Highway, Near Jupiter Hospital, Majiwada, Thane West']","['\xe2\x82\xb91,300']","['11:30 AM to 11:30 PM (Mon-Thu),11:30 AM to 12:30 AM...']","['All-day dining', u'Irani caf\xe9s']","['022 39931167, 022 39931168']"
['Casual Dining'],['Fable'],['4.0'],['703 votes'],['543 reviews'],"['Continental', 'Italian']",['Juhu'],"['Shop 3, Ashiyana Apartment, N.S Road 13, Juhu, Mumbai']","['\xe2\x82\xb91,300']",['8:30 AM to 1:30 AM (Mon-Sun)'],['All-day dining'],['022 33126142']
['Fine Dining'],['Hakkasan'],['4.6'],['1274 votes'],['564 reviews'],"['Desserts', 'Chinese']","['Linking Road, Bandra West']","['206, Krystal, Waterfield Road, Linking Road, Bandra West']","['\xe2\x82\xb93,000']","['12 Noon to 4 PM, 7 PM to 1 AM (Mon-Sat),12 Noon to 5...']",['Romantic'],['022 26444444']
['Quick Bites'],['Sardar Refreshments'],['3.5'],['2517 votes'],['1438 reviews'],"['Street Food', 'Maharashtrian', 'Fast Food']",['Tardeo'],"['Tardeo Road Junction, Opposite Bus Depot, Tardeo, Mumbai']",['\xe2\x82\xb9250'],['12 Noon to 2 AM (Mon-Sun)'],['Legendary outlets'],['022 23530208']
['Casual Dining'],['Family Tree'],['4.3'],['364 votes'],['300 reviews'],"['Italian', 'Mexican', 'North Indian', 'Chinese']","['Panch Pakhadi, Thane West']","['Shop 4, Ravi Industries, Panch Pakhadi, Thane West']",['\xe2\x82\xb9800'],"['11:30 AM to 3:30 PM, 6:30 PM to 11:30 PM (Mon-Sun)']",['Veggie friendly'],['022 30151211']
