rest_type,rest_name,rest_score,rest_votes,rest_reviews,rest_cuisine,rest_zone,rest_addressrest_cost,rest_timings,rest_featured_in,rest_call
['Casual Dining'],['Shiv Sagar'],['2.5'],['36 votes'],['26 reviews'],"['North Indian', 'Chinese', 'Fast Food', 'Street Food']",['Ulhasnagar'],"['31, Sai Arcade, Netaji Chowk, Ulhasnagar, Mumbai']",['\xe2\x82\xb9500'],['10 AM to 12 Midnight (Mon-Sun)'],['empty'],"['0251 2528100, 0251 2524275']"
['Quick Bites'],['Panshikar'],['3.5'],['45 votes'],['24 reviews'],['Street Food'],['Girgaum'],"['Mohan building, JSS Road, Thakurdwar, Girgaum, Mumbai']",['\xe2\x82\xb9250'],['8:30 AM to 9 PM (Mon-Sun)'],['empty'],"['022 23855723, 022 23855724']"
['Casual Dining'],['Shubha Bhojanalaya'],['3.5'],['31 votes'],['18 reviews'],"['North Indian', 'Seafood']",['Lower Parel'],"['446/A/2, Tulsi Building, SB Marg, Opposite Shivalay Hall, Lower Parel, Mumbai']",['\xe2\x82\xb9350'],"['11 AM to 4 PM, 7 PM to 11 PM (Mon-Sun)']",['empty'],"['022 24940709, +91 9619468688']"
['Quick Bites'],['Anand Dosa'],['3.3'],['26 votes'],['19 reviews'],['South Indian'],"['Bandra Talao, Bandra West']","['A-19, Nutan Nagar, Turner Road, Bandra Talao, Bandra West, Mumbai']",['\xe2\x82\xb9150'],"['9 AM to 9:30 PM (Mon-Sat),24 Hours (Sun)']",['empty'],['+91 9619079668']
['Quick Bites'],['Swad'],['3.0'],['4 votes'],['6 reviews'],"['Seafood', 'North Indian', 'Chinese', 'Malwani']",['Ghansoli'],"['Shop 4,5,6, Plot 439, Nitel Palace, Durga Parameshwari Temple Road, Ghansoli, Navi Mumbai']",['\xe2\x82\xb9400'],['11:30 AM to 12 Midnight (Mon-Sun)'],['10% Discount on all bill .\n20% discount on bill more then 1000rs'],['022 30150836']
['Quick Bites'],['Desi Chaska'],['2.6'],['31 votes'],['23 reviews'],"['North Indian', 'Chinese']",['Vasai'],"[""Shop 20-23, Peace Heaven, Kaul's Heritage City, Bhabola Naka, Vasai, Mumbai""]",['\xe2\x82\xb9500'],"['4 PM to 11 PM (Mon),8 AM to 11 PM (Tue-Sun)']",['empty'],"['+91 7028005306, +91 7028005307']"
['Quick Bites'],['Saathi Fast Food'],['3.4'],['43 votes'],['16 reviews'],"['South Indian', 'Fast Food', 'Beverages']","['Versova, Andheri West']","['7, Nirman Cottage, Near Dabur Dairy, Yari Road, Versova, Andheri West']",['\xe2\x82\xb9250'],['11 AM to 12 Midnight (Mon-Sun)'],['empty'],"['022 26304054, +91 9004383383']"
['Quick Bites'],['Rahmaniya Restaurant'],['3.4'],['40 votes'],['25 reviews'],"['North Indian', 'South Indian', 'Chinese']",['Fort'],"['7, Raghunath Dadaji Street, Near Handloom House, Fort, Mumbai']",['\xe2\x82\xb9250'],['7 AM to 11:30 PM (Mon-Sun)'],['empty'],['022 22613590']
['Casual Dining'],['Raja Hotel'],['3.2'],['44 votes'],['22 reviews'],"['North Indian', 'Chinese']",['Kalyan'],"['1st Floor, Raja Hotel, Kalyan West, Thane, Mumbai']",['\xe2\x82\xb9500'],['11 AM to 12 Midnight (Mon-Sun)'],['empty'],['0251 2206387']
['Casual Dining'],['Atithee Restaurant'],['3.3'],['33 votes'],['21 reviews'],"['Chinese', 'North Indian', 'Mughlai', 'Seafood']",['Worli'],"['108, Neelam Building, Worli Seaface Road, Worli, Mumbai']","['\xe2\x82\xb91,000']",['11:30 AM to 12 Midnight (Mon-Sun)'],['empty'],"['022 24978381, 022 24930470']"
['Casual Dining'],['Gokuldham Pure Veg'],['3.2'],['41 votes'],['17 reviews'],"['North Indian', 'South Indian', 'Fast Food', 'Chinese']",['Charni Road'],"['Kanji Mansion, SVP Road, Khetwadi Main Road, Charni Road, Mumbai']",['\xe2\x82\xb9400'],['9:30 AM to 2 AM (Mon-Sun)'],['empty'],"['022 23821298, 022 65006303']"
['Food Court'],['Downtown China'],['3.4'],['26 votes'],['19 reviews'],"['Chinese', 'Thai']",['Old Panvel'],"['2nd Floor, Orion Mall, Near ST Bus Stand, Old Panvel, Navi Mumbai']",['\xe2\x82\xb9600'],['11 AM to 11 PM (Mon-Sun)'],['empty'],"['+91 7666664244, 022 39658330']"
['Casual Dining'],['Balaji Fast Food'],['3.5'],['21 votes'],['17 reviews'],"['Fast Food', 'North Indian', 'South Indian']",['Nerul'],"['F-14, Paradise Apartment, Opposite SIES College Sector-3, Nerul East, Nerul, Navi Mumbai']",['\xe2\x82\xb9500'],['9 AM to 11 PM (Mon-Sun)'],['empty'],"['+91 8097363436, +91 8108492033']"
['Casual Dining'],['Wok Hei'],['2.8'],['42 votes'],['18 reviews'],"['Chinese', 'Thai']",['Matunga East'],"[""DP's Fast Food Centre, Ruia College, Matunga East, Mumbai""]",['\xe2\x82\xb9800'],['8 AM to 11:30 PM (Mon-Sun)'],['empty'],"['022 24145326, 022 24161028']"
['Dessert Parlor'],['Supreme Ice Cream'],['3.7'],['41 votes'],['24 reviews'],"['Desserts', 'Ice Cream']",['Vashi'],"['11, Rishabh Co Operative Housing Society, Sector 9, Vashi, Navi Mumbai']",['\xe2\x82\xb9100'],['8 AM to 12 Midnight (Mon-Sun)'],['empty'],['022 27651173']
['Casual Dining'],['Cafe Savera'],['2.6'],['41 votes'],['20 reviews'],"['North Indian', 'Chinese']",['Near Andheri West Station'],"['Shop No 2, Sukhmani Building, Near Archies Gallery, Laram Center, SV Road, Near Andheri West Station, Mumbai']",['\xe2\x82\xb9600'],"['7 AM to 12 Midnight (Mon, Tue, Wed, Thu, Sat, Sun)...']",['empty'],"['022 26281382, +91 9769151144']"
['Casual Dining'],['New Riyaz'],['3.2'],['30 votes'],['14 reviews'],"['North Indian', 'Chinese', 'Biryani']","['Bandra Talao, Bandra West']","['35, Station Road, Bus Depot, Bandra Talao, Bandra West']",['\xe2\x82\xb9500'],['6 AM to 12 Midnight (Mon-Sun)'],['empty'],"['022 26423132, +91 8108888368']"
['Casual Dining'],['Hotel Western'],['3.5'],['32 votes'],['22 reviews'],"['North Indian', 'Chinese']",['Mira Road'],"['Western Express Highway 8, Kashimira, Mira Road, Mumbai']",['\xe2\x82\xb9600'],['10 AM to 12:30 AM (Mon-Sun)'],['empty'],['022 28457271']
['Casual Dining'],['Cafe Almas'],['2.6'],['38 votes'],['21 reviews'],"['North Indian', 'Chinese', 'Mughlai']",['Mohammad Ali Road'],"['Beside JJ Hospital, Mohammad Ali Road Area, Mumbai']",['\xe2\x82\xb9550'],"['11:30 AM to 4 PM, 7:30 PM to 11:30 PM (Mon-Sun)']",['empty'],"['022 23728891, 022 23750434']"
['Quick Bites'],['Nanu Paya'],['3.4'],['23 votes'],['16 reviews'],"['North Indian', 'Chinese', 'Mughlai']",['Seawoods'],"['Shop 6, Goodwill Avenue, Plot 1, Below HDFC Home Loans, Near Seawoods Grand Central, Sector 40, Seawoods (W), Seawoods, Navi Mumbai']",['\xe2\x82\xb9550'],"['Closed (Mon),6 AM to 11:30 PM (Tue-Sun)']",['empty'],['022 33956234']
['empty'],['Chinjab Express'],['2.5'],['29 votes'],['26 reviews'],"['Chinese', 'North Indian']","['Kasarvadavli, Thane West']","['14, Kanchanpushpa Apartments, Opp. Panchamrut Bus Stop, Kasarvadavli, Thane West']",['\xe2\x82\xb9500'],"['12 Noon to 3:30 PM, 6 PM to 11 PM (Mon-Sun)']",['empty'],['+91 8080011770']
['Quick Bites'],['China Chilli'],['3.4'],['21 votes'],['19 reviews'],"['Asian', 'Chinese', 'Thai', 'Seafood']","['Galleria Shopping Centre, Powai']","['Shop 153,Food Court, Galleria Shopping  Centre, Hiranandani, Powai, Mumbai']",['\xe2\x82\xb9700'],['11:30 AM to 11:30 PM (Mon-Sun)'],['Get 15% off all home-delivery orders above Rs. 250. Valid only when you order online on Zomato.'],"['022 65520076, +91 8976000176']"
['Food Court'],['Nanumal Bhojraj'],['3.3'],['22 votes'],['17 reviews'],"['North Indian', 'South Indian', 'Chinese']","['K Star Mall, Chembur']","['K Star Mall, Chembur, Mumbai']",['\xe2\x82\xb9400'],['11 AM to 11 PM (Mon-Sun)'],['empty'],"['022 61278611, +91 8879041112']"
['Quick Bites'],['Urban Burger'],['2.9'],['22 votes'],['14 reviews'],"['Fast Food', 'Burger']",['Goregaon West'],"['Shop 6, Golden Apartment Compound, Near Kapadia Hospital, M.G Road, Goregaon West, Mumbai']",['\xe2\x82\xb9500'],['10 AM to 10 PM (Mon-Sun)'],['empty'],['+91 9004988998']
['Casual Dining'],['Chaukhat'],['2.6'],['40 votes'],['27 reviews'],"['North Indian', 'Biryani', 'Chinese']","['Oshiwara, Andheri West']","['480/B, Gulmohar C.H.S, New Link Road, Oshiwara, Andheri West, Mumbai']",['\xe2\x82\xb9650'],"['11 AM to 3:30 PM, 7 PM to 11:30 PM (Mon-Sun)']",['empty'],"['022 65307222, 022 65307333']"
['Casual Dining'],['Suyog Restaurant & Bar'],['3.2'],['44 votes'],['25 reviews'],"['North Indian', 'Chinese', 'Mughlai', 'Seafood']",['Wadala'],"['Near Wadala Market, Katrak Road, Wadala, Mumbai']",['\xe2\x82\xb9750'],['11 AM to 12:30 AM (Mon-Sun)'],['empty'],"['022 24131879, 022 24189221']"
['Quick Bites'],['The Royal Dudes'],['2.3'],['43 votes'],['20 reviews'],"['Fast Food', 'North Indian']","['Orchard Mall, Goregaon East']","['1-2-4-5, Wing A, Orchard Mall, Royal Palms Estate, Aarey Colony, Goregaon East, Mumbai']",['\xe2\x82\xb9300'],['8:20 AM to 11:30 PM (Mon-Sun)'],['empty'],"['+91 9321518851, +91 9321518852']"
"['Bakery', ',', 'Dessert Parlor']",['Sweetish House Mafia'],['3.6'],['42 votes'],['19 reviews'],"['Bakery', 'Desserts']","['CR2 Mall, Nariman Point']","['CR2 Mall, Nariman Point, Mumbai']",['\xe2\x82\xb9300'],['9 AM to 12 Midnight (Mon-Sun)'],['empty'],"['+91 7506738060, +91 9819730218']"
['Casual Dining'],['Green House Wine Dine'],['3.0'],['34 votes'],['13 reviews'],"['North Indian', 'Malwani', 'Chinese']",['Vasai'],"['100 Feet Road, Jay Raj Nagar, Vasai West, Vasai, Mumbai']","['\xe2\x82\xb91,000']","['11 AM to 3 PM, 6 PM to 12 Midnight (Mon-Sun)']",['empty'],"['0250 6526032, 0250 2342365']"
['Casual Dining'],['Mahesh Lunch Home & Bar'],['3.5'],['47 votes'],['19 reviews'],"['North Indian', 'Chinese', 'Seafood', 'Mughlai']",['Kurla'],"['B9, S.G. Barve Marg, Nehru Nagar, Kurla, Mumbai']",['\xe2\x82\xb9550'],['11:30 AM to 12:30 AM (Mon-Sun)'],['empty'],"['022 25225185, 022 25229741']"
['Casual Dining'],['Bamboo Pot'],['3.2'],['36 votes'],['18 reviews'],"['Chinese', 'Thai', 'Seafood']",['Juhu'],"['Shop 1, JVPD Bus Depot, Opposite Dakshina Apartment, Juhu Circle, Juhu, Mumbai']",['\xe2\x82\xb9700'],"['12 Noon to 4 PM, 6:30 PM to 12 Midnight (Mon-Sun)']",['empty'],"['+91 7666636664, +91 7666636668']"
['Casual Dining'],['Discovery Restaurant'],['3.1'],['28 votes'],['18 reviews'],"['Chinese', 'Thai']",['Juhu'],"['Shop 6, Hari Ravendrakar Road, Opposite Juhu Appartments, Juhu, Mumbai']",['\xe2\x82\xb9600'],['11 AM to 12 Midnight (Mon-Sun)'],['empty'],"['022 26398500, +91 9029001203']"
['Casual Dining'],['Cafe Bharat'],['3.1'],['35 votes'],['15 reviews'],"['North Indian', 'Chinese', 'South Indian', 'Fast Food']",['Bhandup'],"['JM Road, Shivaji Talav, Bhandup West, Bhandup, Mumbai']",['\xe2\x82\xb9400'],"['7 AM to 11:30 PM (Mon, Tue, Thu, Fri, Sat), 7 AM to...']",['empty'],['022 30150839']
['Casual Dining'],['Harish Family Restaurant & Bar'],['3.1'],['34 votes'],['20 reviews'],"['Seafood', 'North Indian', 'Mughlai', 'Chinese']",['Fort'],"['20/22, Giri Niwas, Opposite Canara Bank, Adi Marzaban Path, Fort, Mumbai']",['\xe2\x82\xb9750'],"['12 Noon to 3:30 PM, 5:30 PM to 11:30 PM (Mon-Sun)']",['empty'],"['+91 7045564605, 022 22614699']"
['Casual Dining'],['Wood Stick'],['3.2'],['33 votes'],['22 reviews'],"['Chinese', 'Thai']",['Vasai'],"['Sushila Bhawan Building, Near Parvati Cinema, Vasai, Mumbai']",['\xe2\x82\xb9600'],['11 AM to 11:30 PM (Mon-Sun)'],['empty'],"['0250 6012399, +91 7709012399']"
['Casual Dining'],"[""Shetty's""]",['2.8'],['37 votes'],['21 reviews'],"['South Indian', 'Street Food', 'North Indian', 'Chinese', 'Beverages']",['Grant Road'],"['Ness Baug, Nana Chowk, Grant Road, Mumbai']",['\xe2\x82\xb9500'],['7 AM to 12 Midnight (Mon-Sun)'],['empty'],['022 23876279']
['Quick Bites'],['Trupti Farsan'],['3.2'],['17 votes'],['14 reviews'],"['Fast Food', 'Mithai']",['Chandivali'],"['Nahar Business Center, Nahar Amrit Shakti Road, Chandivali, Mumbai']",['\xe2\x82\xb9200'],['8 AM to 9 PM (Mon-Sun)'],['empty'],['022 28577214']
['Casual Dining'],['Kirti Mahal'],['3.3'],['36 votes'],['19 reviews'],"['North Indian', 'South Indian', 'Maharashtrian', 'Fast Food']",['Parel'],"['F South Muncipal Building, Ground Floor, Parel TT, Parel, Mumbai']",['\xe2\x82\xb9500'],['8:45 AM to 10:30 PM (Mon-Sun)'],['empty'],"['022 24181238, +91 9967318287']"
['Quick Bites'],['The Big Squeeze'],['2.5'],['25 votes'],['17 reviews'],['Juices'],"['Infiniti Mall, Malad West']","['3rd Floor, Infiniti Mall 2, Link Road, Malad West, Mumbai']",['\xe2\x82\xb9250'],['11 AM to 11 PM (Mon-Sun)'],['empty'],"['+91 9833252931, 022 61272672']"
['empty'],['PapaChef'],['3.2'],['16 votes'],['13 reviews'],"['Chinese', 'North Indian']",['Dombivali East'],"['Shop 1 , Sarvodaya Shilp, Sarvodaya Nagar, Patharli Road, Dombivali East, Mumbai']",['\xe2\x82\xb9500'],"['11 AM to 3 PM, 7 PM to 11 PM (Mon-Sun)']",['empty'],"['+91 7666146666, +91 7666846666']"
['Quick Bites'],['Hotel Manoranjan'],['3.1'],['39 votes'],['20 reviews'],"['North Indian', 'South Indian']",['Ghatkopar East'],"['MG Road, Opposite Ramji Ashar School, Ghatkopar East, Mumbai']",['\xe2\x82\xb9300'],['11 AM to 11:30 PM (Mon-Sun)'],['empty'],['022 25013326']
['Casual Dining'],['Malvan Kinara'],['2.6'],['26 votes'],['19 reviews'],"['North Indian', 'Malwani', 'Chinese']",['Kalyan'],"['Tisgaon Naka, Pune Link Road, Tisgaon, Kalyan East, Kalyan, Mumbai']",['\xe2\x82\xb9600'],['11 AM to 12 Midnight (Mon-Sun)'],['empty'],"['+91 8108050707, +91 9773757237']"
['Casual Dining'],['New Madras'],['3.1'],['20 votes'],['12 reviews'],"['North Indian', 'South Indian', 'Mughlai', 'Chinese']",['Sion'],"['1, Near Railway Station, Sion West, Sion, Mumbai']",['\xe2\x82\xb9650'],['11:30 AM to 12:30 AM (Mon-Sun)'],['empty'],"['022 24070907, 022 24093225']"
['Casual Dining'],['Hotel Shivprasad'],['3.1'],['32 votes'],['14 reviews'],"['Chinese', 'North Indian', 'Biryani']",['Ghansoli'],"['Neelkamal, Mookambika Temple, Sector 5, Ghansoli, Navi Mumbai']",['\xe2\x82\xb9350'],"['11 AM to 4 PM, 7 PM to 12 Midnight (Mon-Sun)']",['empty'],"['022 27545634, 022 27545635']"
['Casual Dining'],['Quick Bite'],['3.3'],['25 votes'],['11 reviews'],"['North Indian', 'Chinese', 'South Indian', 'Fast Food']",['Kalyan'],"['Near Bhiwandi Bypass Naka, Kalyan Bhiwandi Road, Village Ranjnoli, Kalyan, Mumbai']",['\xe2\x82\xb9700'],['10:30 AM to 11:30 PM (Mon-Sun)'],['empty'],['02522 645697']
['Casual Dining'],['Saheb Restaurant'],['3.1'],['34 votes'],['20 reviews'],"['Chinese', 'North Indian', 'Mangalorean']",['Bandra East'],"['36, Gandhi Nagar, Bandra East, Mumbai']",['\xe2\x82\xb9600'],"['12:30 PM to 3:30 PM, 6:30 PM to 12:30 AM (Mon-Sun)']",['empty'],"['022 26511919, 022 26459955']"
['Casual Dining'],['Shashi Coastal Treat'],['3.4'],['29 votes'],['17 reviews'],"['North Indian', 'Chinese', 'Mangalorean']",['Prabhadevi'],"['Bhavana building, Veer Sarvakar Marg, Prabhadevi, Mumbai']",['\xe2\x82\xb9600'],"['11:30 AM to 3:30 PM, 7:30 PM to 11:30 PM (Mon-Sun)']",['empty'],"['022 24376978, 022 24211575']"
['Casual Dining'],"[""Jewel's Chinese""]",['2.5'],['29 votes'],['17 reviews'],"['South Indian', 'North Indian', 'Chinese', 'Beverages']",['Powai'],"['Shop no 11, Cypress Building, Hiranandani Garden, Powai, Mumbai']",['\xe2\x82\xb9500'],['8 AM to 2 AM (Mon-Sun)'],['empty'],"['022 32269996, 022 25705353']"
['Casual Dining'],['Vijaya'],['3.1'],['32 votes'],['20 reviews'],"['North Indian', 'Chinese', 'Mughlai', 'Seafood']",['Airoli'],"['2 & 3, Plot 6/7, Sai Pooja Apartment, Near Airoli Mulund Bridge, Sector 9, Airoli, Navi Mumbai']",['\xe2\x82\xb9550'],['10 AM to 12 Midnight (Mon-Sun)'],['empty'],"['+91 9702029855, 022 27604581']"
['Casual Dining'],['Shyam Sunder Fast Food'],['3.5'],['38 votes'],['18 reviews'],['Chinese'],['Azad Nagar'],"[""Near Munshi Nagar, Bhavan's College Gate, Azad Nagar, Mumbai""]",['\xe2\x82\xb9500'],['11 AM to 11:30 PM (Mon-Sun)'],['empty'],"['022 26250493, +91 9322203447']"
['empty'],['Healthy Bowls'],['3.6'],['34 votes'],['32 reviews'],['Healthy Food'],['Mahakali'],"['B1404, RNA Heights, JVLR, Mahakali, Mumbai']",['\xe2\x82\xb9500'],['8 AM to 10 PM (Mon-Sun)'],['empty'],['+91 9167157656']
['Casual Dining'],['Hotel Metro Palace'],['3.4'],['32 votes'],['17 reviews'],"['Chinese', 'North Indian', 'Mughlai']",['Jogeshwari'],"['1, Behram Baugh Road, Jogeshwari West, Jogeshwari, Mumbai']",['\xe2\x82\xb9400'],['7 AM to 12 Midnight (Mon-Sun)'],['empty'],"['022 26780756, 022 26780116']"
['Quick Bites'],"[""Malini's Health Kitchen""]",['3.3'],['16 votes'],['16 reviews'],['South Indian'],['Chandivali'],"['Gali 34, Narayan Plaza Co-Op Society, Chandivali, Mumbai']",['\xe2\x82\xb9250'],['8 AM to 10 PM (Mon-Sun)'],['empty'],"['+91 9930891875, +91 8281643129']"
['Casual Dining'],['Cafe Sunlight'],['3.2'],['33 votes'],['18 reviews'],"['Mughlai', 'Lucknowi', 'North Indian', 'Chinese', 'Fast Food']",['Kurla'],"['195/D, Agra Road, LBS Marg, Opposite Sheetal Cinema, Kurla West, Kurla, Mumbai']",['\xe2\x82\xb9600'],['11 AM to 1 AM (Mon-Sun)'],['empty'],"['022 25041112, 022 25038970']"
['Casual Dining'],['Shubham'],['3.1'],['37 votes'],['15 reviews'],"['Chinese', 'North Indian', 'Seafood', 'Mughlai']",['New Panvel'],"['C Wing, Sector 11, Shubham Complex, Plot 1 & 3, New Panvel East, New Panvel, Navi Mumbai']",['\xe2\x82\xb9600'],['11:30 AM to 12 Midnight (Mon-Sun)'],['empty'],"['022 27491164, +91 9819042782']"
['Quick Bites'],['Vithal Kamats'],['3.4'],['20 votes'],['16 reviews'],"['South Indian', 'Fast Food', 'Street Food', 'North Indian']",['Mahakali'],"['Andheri Kurla Road, International Airport Kondivita Lane, Opposite Trade Star Building, Mahakali, Mumbai']",['\xe2\x82\xb9250'],['9 AM to 8 PM (Mon-Sun)'],['empty'],"['022 61517555, 022 28270707']"
['Casual Dining'],"[""Vivek's""]",['2.6'],['36 votes'],['19 reviews'],"['Chinese', 'Seafood']",['Borivali West'],"['Bhimbai Nivas, Chikuwadi, Shimpoli, Borivali West, Mumbai']",['\xe2\x82\xb9500'],"['12 Noon to 3 PM, 6:30 PM to 12:30 AM (Mon-Sun)']",['empty'],"['022 28990694, +91 9867890694']"
['Casual Dining'],"[""Bhaijaan's Restaurant""]",['3.3'],['14 votes'],['14 reviews'],"['North Indian', 'Chinese']",['Kalyan'],"['Near D Mart,Charms Tower, Bail Bazar, Kalyan, Mumbai']",['\xe2\x82\xb9500'],['12 Noon to 12 Midnight (Mon-Sun)'],['empty'],['+91 9930470983']
['Casual Dining'],['New Mini Punjab Restaurant'],['2.6'],['29 votes'],['16 reviews'],"['Chinese', 'North Indian']",['Vashi'],"['25 & 26, Landmark Society, Sector 14, Vashi, Navi Mumbai']",['\xe2\x82\xb9450'],"['8 AM to 3 PM, 6 PM to 12 Midnight (Mon-Sun)']",['empty'],"['022 27898054, +91 9323999987']"
['Casual Dining'],['Bala Ka Dhaba'],['3.2'],['42 votes'],['21 reviews'],"['North Indian', 'Street Food', 'Beverages']",['Malad West'],"['Ganga Sadan, BJ Patel Road, Near SNDT College, Malad West, Mumbai']",['\xe2\x82\xb9400'],['12 Noon to 12 Midnight (Mon-Sun)'],['empty'],"['+91 9819134279, +91 8898856833']"
['Casual Dining'],['Fusion - The Residence Hotel'],['3.1'],['24 votes'],['10 reviews'],"['Continental', 'Chinese', 'Italian', 'North Indian']",['Powai'],"['The Residence Hotel, Saki Vihar Road, Powai, Mumbai']","['\xe2\x82\xb91,200']","['12:30 PM to 3:30 PM, 7:30 PM to 11:30 PM (Mon-Sun)']",['empty'],['+91 9167887522']
['Caf\xc3\xa9'],['Bite It'],['3.3'],['27 votes'],['21 reviews'],"['Cafe', 'Italian', 'American', 'Mediterranean', 'Lebanese']",['Borivali West'],"['A/10, Sminu Building, Opposite MCF Garden, Prem Nagar, Sodawala Lane, Borivali West, Mumbai']",['\xe2\x82\xb9600'],['11 AM to 12 Midnight (Mon-Sun)'],['empty'],"['+91 8452881755, +91 8898666755']"
['Dessert Parlor'],['Kreamy Kubes Cake Shop'],['2.7'],['33 votes'],['16 reviews'],"['Bakery', 'Desserts']",['Veera Desai Area'],"['C 11, Minoo Minar Society, Veera Desai Road, Veera Desai Area, Mumbai']",['\xe2\x82\xb9200'],['11 AM to 11 PM (Mon-Sun)'],['empty'],['+91 9833193838']
['Casual Dining'],"[""Krishna's""]",['3.3'],['36 votes'],['17 reviews'],"['South Indian', 'Street Food', 'North Indian', 'Chinese', 'Beverages']",['Chembur'],"[""Diwan Niketan, ST Road, Chembur Naka, Next to Akbarally's, Chembur, Mumbai""]",['\xe2\x82\xb9450'],"['11 AM to 3:30 PM, 7 PM to 11 PM (Mon-Sun)']",['empty'],"['022 25221433, 022 25297685']"
['Casual Dining'],['Ambika Lunch Home'],['3.2'],['29 votes'],['15 reviews'],"['North Indian', 'Chinese', 'South Indian', 'Seafood']",['Marol'],"['Below Marol Metro Station, Marol Naka, Andheri Kurla Road, Marol, Mumbai']",['\xe2\x82\xb9500'],['7 AM to 9:30 PM (Mon-Sun)'],['empty'],"['022 28521919, +91 8693091919']"
['Dhaba'],['Kutty Pancham'],['3.5'],['38 votes'],['21 reviews'],"['Maharashtrian', 'North Indian', 'Chinese']",['Nerul'],"['G 30A, Centurion Mall, Sector 19A, Nerul East, Nerul, Navi Mumbai']",['\xe2\x82\xb9400'],"['9:30 AM to 12 Midnight (Mon-Fri),7 PM to 12 Midnight...']",['empty'],['022 33951573']
['Casual Dining'],['Shiva Leela'],['2.9'],['35 votes'],['15 reviews'],"['North Indian', 'South Indian', 'Fast Food', 'Beverages']",['Near Andheri East Station'],"['15, KA Patel Building, Near Railway Station, Jogeshwari East, Near Andheri East Station, Mumbai']",['\xe2\x82\xb9500'],['8 AM to 11 PM (Mon-Sun)'],['empty'],"['022 28341166, 022 28222094']"
['Casual Dining'],['Hotel Santosh'],['3.3'],['40 votes'],['24 reviews'],"['Seafood', 'Biryani', 'Chinese', 'North Indian']",['Vile Parle East'],"['Veereswar Prakash, Nehru Road, Vile Parle East, Mumbai']",['\xe2\x82\xb9350'],"['11:30 AM to 3:30 PM, 7 PM to 12 Midnight (Mon-Sun)']",['empty'],['022 26131765']
['Quick Bites'],['Kolkata Rolls'],['3.3'],['24 votes'],['19 reviews'],['Fast Food'],['Borivali West'],"['Shop 11 EL Plaza , IC Colony Main Road, Borivali West, Mumbai']",['\xe2\x82\xb9200'],['12 Noon to 12 Midnight (Mon-Sun)'],['empty'],"['022 32667799, +91 9320667799']"
['empty'],"[""Lo'Calite""]",['3.2'],['9 votes'],['6 reviews'],['Healthy Food'],['Goregaon East'],"['Gala 5,Gopal House, IB Patel Road, Goregaon East, Mumbai']",['\xe2\x82\xb9350'],['10 AM to 6 PM (Mon-Sun)'],['empty'],"['022 26868585, 022 26868383']"
['Casual Dining'],['Modern Trilok Restaurant & Bar'],['3.2'],['42 votes'],['21 reviews'],"['Chinese', 'North Indian', 'Seafood', 'Mughlai']",['Matunga East'],"['15, Shree Building, Chandawarkar Road, Opposite Mangalore Jewellers, Matunga East, Mumbai']",['\xe2\x82\xb9650'],['11 AM to 12 Midnight (Mon-Sun)'],['empty'],['022 24113367']
['empty'],['Dig-In'],['3.4'],['16 votes'],['12 reviews'],['Fast Food'],['Kandivali East'],"['Near Thakur College Of Science And Commerce,\nNear Samta Nagar Bus Depot, Kandivali East, Mumbai']",['empty'],['empty'],['empty'],['+91 7666766973']
['Quick Bites'],['Hardasmal'],['3.4'],['24 votes'],['17 reviews'],"['North Indian', 'South Indian']",['Ulhasnagar'],"['250, Opposite Police Station, Ulhasnagar, Mumbai']",['\xe2\x82\xb9450'],['12 Noon to 12 Midnight (Mon-Sun)'],['empty'],"['+91 9321549549, +91 9322549549']"
['Casual Dining'],['Soul Curry'],['3.3'],['30 votes'],['24 reviews'],"['North Indian', 'Chinese', 'Malwani']",['Bhandup'],"['LBS Marg, Opposite Kukreja Complex, Bhandup West, Bhandup, Mumbai']",['\xe2\x82\xb9800'],['11 AM to 12:30 AM (Mon-Sun)'],['empty'],['022 30151041']
['Quick Bites'],['Jay Snacks'],['3.6'],['30 votes'],['17 reviews'],['South Indian'],['Fort'],"['214/A, 32, Raja Bahadur Compound, LBS Marg, Opposite Bank Of Maharashtra, Fort, Mumbai']",['\xe2\x82\xb9150'],['8 AM to 8 PM (Mon-Sun)'],['empty'],['022 22634793']
['Casual Dining'],['Ashirwad'],['2.7'],['30 votes'],['19 reviews'],"['North Indian', 'Chinese', 'Seafood']","['Majiwada, Thane West']","['Opposite Highland Residency, Yashashwi Nagar, Kolshet Dhokali Road, Majiwada, Thane West, Thane']",['\xe2\x82\xb9500'],"['11:30 AM to 3:30 PM, 7 PM to 12 Midnight (Mon-Sun)']",['empty'],"['022 25335039, 022 25335036']"
['Casual Dining'],['Ping Pong Kitchen'],['3.4'],['16 votes'],['11 reviews'],"['North Indian', 'Chinese']","['Vasant Vihar, Thane West']","['Shop 47,Opposite Kanakia Vasundhara blgh, Vasant Vihar, Thane West']",['\xe2\x82\xb9650'],"['11:30 AM to 3 PM, 6 PM to 11:30 PM (Mon-Sun)']",['empty'],['022 61344826']
['empty'],['OTG (On The Go)'],['Temporarily Closed'],['empty'],['34 reviews'],['Fast Food'],['Malad West'],"['Chincholi Bunder, Malad West, Mumbai']",['\xe2\x82\xb9450'],['empty'],['empty'],"['+91 9769374107, +91 9581259711']"
